"code","name","default_credit_account_id","default_debit_account_id","type","id"
"STJ","Stock Journal",,,"General","stock.stock_journal"
"VT2","Ventes Alarobia",,,"Sale","VT2"
"HA1","Achat de biens locaux",,,"Purchase","HA1"
"SCNJ","Sales Refund Journal",,,"Sale Refund","SCNJ"
"ECNJ","Purchase Refund Journal",,,"Purchase Refund","ECNJ"
"1VM","Versement BMOI tana",51211000,51211000,"Bank and Cheques","1VM"
"1VF","Versement BFV tana",51221000,51221000,"Bank and Cheques","1VF"
"CA3","Caisse Alarobia",53300000,53300000,"Cash","CA3"
"SAL","journal des salaires",,,"General","account.salary_journal"
"TTE","Traite à encaisser",51120000,51120000,"Bank and Cheques","TTE"
"CHQ","Chèque à encaisser",51110000,51110000,"Bank and Cheques","CHQ"
"TEM","Traites émises",,,"Bank and Cheques","TEM"
"dep","Depreciation",,,"General","dep"
"FAJ","Fixed Assets Journal",,,"General","account_fixed_assets.fixed_assets_journal"
"ODR","Opérations diverses",,,"General","ODR"
"ESP","Espèces à encaisser",51130000,51130000,"Bank and Cheques","ESP"
"HA2","Achat de service",,,"Purchase","HA2"
"HA3","Achat import",,,"Purchase","HA3"
"VIR","Virement à encaisser",51140000,51140000,"Bank and Cheques","VIR"
"BM1","BMOI tanà  00004  01521400166  32",51211000,51211000,"Bank and Cheques","BM1"
"BM4","BMOI tave  00010  01546300133  32",51211020,51211020,"Bank and Cheques","BM4"
"BF1","BVF tanà  00005  02001000131  87",51221000,51221000,"Bank and Cheques","BF1"
"BME","BMOI eur 4  00004  01521401136  32",51212000,51212000,"Bank and Cheques","BME"
"BFE","BFV usd 008  00005  02071004033  74",51222000,51222000,"Bank and Cheques","BFE"
"CA1","Caisse Ambohibao",53100000,53100000,"Cash","CA1"
"CA2","Caisse Ivandry",53200000,53200000,"Cash","CA2"
"CA4","Caisse Tamatave",53400000,53400000,"Cash","CA4"
"CA5","Caisse PVT Ambohibao",53500000,53500000,"Cash","CA5"
"EF1","Versement effet client BMOI",,,"Bank and Cheques","EF1"
"EF2","Versement effet client BFV",,,"Bank and Cheques","EF2"
"VT1","Ventes ambohibao",,,"Sale","VT1"
"VT3","Ventes Ivandry",,,"Sale","VT3"
"OD1","Opérations diverses (OD1)",51150000,51150000,"General","OD1"
"ODC","Opérations diverses commerciales",51150000,51150000,"General","ODC"
"PAI","Paie",,,"General","PAI"
"REG","Régularisations",,,"General","REG"
"RAN","Report à nouveau",,,"General","RAN"
"VT4","Ventes Tamatave",,,"Bank and Cheques","VT4"
"AMB","AMBOHIBAO",53100000,53100000,"General","AMB"
"ALA","ALAROBIA",53300000,53300000,"General","ALA"
"TAM","TAMATAVE",53400000,53400000,"General","TAM"
"PVT","PVT AMBOHIBAO",53500000,53500000,"General","PVT"
"IVA","IVANDRY",53200000,53200000,"General","IVA"
"1VT","Versement BMOI tamatave",51211020,51211020,"Bank and Cheques","1VT"
"BG1","BGFI 410 001 680 11-09",51251000,51251000,"Bank and Cheques","BG1"
"ESC","Traites Escomptes",511400,511400,"Bank and Cheques","ESC"
