".id","id","name","parent_id:id"
1,"ALL","ALL products",
46,"TOLE","TOLE","ALL"
47,"SANITAIRE","SANITAIRE","ALL"
48,"MO","MO","ALL"
49,"QIE","QIE","ALL"
51,"PSID","SIDE","ALL"
52,"SMTP","SMTP","ALL"
402,"ACT","Accessoires Toles","TOLE"
403,"AGR","Agrivet","ALL"
404,"CAR","Carreaux","SANITAIRE"
405,"CLO","Cloison","SANITAIRE"
406,"DEQ","Divers Equipements","QIE"
407,"ELE","Electricité","QIE"
408,"FON","Fontes","SMTP"
409,"GAL","Galva","PSID"
410,"GOU","Gouttiere","SMTP"
411,"MAT","Materiels","MO"
412,"OUT","Outillages","MO"
413,"PEH","PEHD","SMTP"
414,"PEI","Peintures","ALL"
415,"PIE","Pieri","ALL"
416,"PIS","Piscine","SANITAIRE"
417,"PTE","Pointes","PSID"
418,"PPR","PPR","SMTP"
419,"PVC","PVC","SMTP"
420,"QUI","Quinc1erie","QIE"
421,"SAN","Sanitaires","SANITAIRE"
422,"SER","Serrurerie","QIE"
423,"TAP","Tapis","QIE"
424,"TOL","Toles","TOLE"
425,"VTR","Vetements de Travail","QIE"
426,"ROB","Sanitaires - Robinetterie","SANITAIRE"
427,"BAC","Toles - Galvabac","TOLE"
428,"BDR","BDR","TOLE"
429,"CHE","Toles - Cheneaux","TOLE"
430,"FAB","Toles - Faitiere Bac","TOLE"
431,"FAP","Toles - Faitieres planes","TOLE"
432,"FAT","Toles - Faitieres Tuiles","TOLE"
433,"NOU","Toles - Noues","TOLE"
434,"TOP","Toles planes","TOLE"
435,"SOL","Toles - Solins","TOLE"
436,"TRB","Toles - Translucides Bac","TOLE"
437,"TOG","Toles Ondulées Galvanisés","TOLE"
438,"TRO","Toles Translucides Ondulées","TOLE"
439,"TPL","Toles Planes","TOLE"
440,"TUI","Toles Tuiles","TOLE"
441,"MSB","Sanitaires - Meubles S1e de bain","SANITAIRE"
442,"PISC","Sanitaires - Piscine","SANITAIRE"
443,"TOF","Toles - Fibro-ciment","TOLE"
444,"TRP","Tole plane","TOLE"
445,"DIVERS","Divers","ALL"
446,"IMP","IMPORT TRANSIT","ALL"
447,"ACHBAT","Materiaux de construction","ALL"
448,"ACHCIN","Consommables & MAT informatiques","ALL"
449,"ACHFBU","Fournitures de bureau","ALL"
450,"ACHTDT","Tenue de travail","ALL"
451,"ACHEMB","Emb1age","ALL"
452,"ACHPPN","PPN","ALL"
453,"ACHPUB","Pubilicite","ALL"
454,"ACHMOB","MOBILIER","ALL"
455,"BOB","Bobine","TOLE"
456,"ACHSRV","Service","ALL"
457,"ACHAER","Automobile","ALL"
458,"CAB","Cable","QIE"
459,"TDA","Traitement d'air","QIE"
460,"TOA","Toles Ondulées Alu","TOLE"
461,"BAZ","Toles Bac Aluzinc","TOLE"
462,"ART","Arretier","TOLE"
463,"TAZ","Tole ondulées Aluzinc","TOLE"
464,"TPZ","Toles plane Aluzinc","TOLE"
465,"FPZ","Faitiere place aluzinc","TOLE"
466,"FBZ","Faitière bac Aluzinc","TOLE"
467,"SOZ","Solin Aluzinc","TOLE"
468,"CHZ","Chenaux Aluzinc","TOLE"
469,"PPT","Papier peint","ALL"
470,"NOZ","Noues aluzinc","TOLE"
471,,"Produits siderurgiques","PSID"
