".id","id","name","category_id/id"
1,"product.product_uom_unit","PCE","product.product_uom_categ_unit"
2,"product.product_uom_kgm","kg","product.product_uom_categ_kgm"
3,"product.product_uom_gram","g","product.product_uom_categ_kgm"
4,"product.uom_hour","Hour","product.uom_categ_wtime"
5,"product.uom_day","Day","product.uom_categ_wtime"
6,"product.product_uom_ton","tonne","product.product_uom_categ_kgm"
7,"product.product_uom_meter","m","product.uom_categ_length"
8,"product.product_uom_km","km","product.uom_categ_length"
9,"product.product_uom_cm","cm","product.uom_categ_length"
10,"Barette","Barette","product.product_uom_categ_unit"
11,"Barre","Barre","product.product_uom_categ_unit"
12,"Bidon","Bidon","product.product_uom_categ_unit"
13,"Boîte","Boîte","product.product_uom_categ_unit"
14,"Carton","Carton","product.product_uom_categ_unit"
15,"Douzaine","Douzaine","product.product_uom_categ_unit"
16,"Feuilles","Feuilles","product.product_uom_categ_unit"
17,"Filter","Filter","product.product_uom_categ_unit"
18,"Flacon","Flacon","product.product_uom_categ_unit"
19,"Heure","Heure","product.product_uom_categ_unit"
20,"Kilo","Kilo","product.product_uom_categ_unit"
21,"Lame","Lame","product.product_uom_categ_unit"
22,"Mètre","Mètre","product.product_uom_categ_unit"
23,"Mètre²","Mètre²","product.product_uom_categ_unit"
24,"Paire","Paire","product.product_uom_categ_unit"
25,"Paquet","Paquet","product.product_uom_categ_unit"
26,"Piece","Piece","product.product_uom_categ_unit"
27,"Rouleau","Rouleau","product.product_uom_categ_unit"
28,"Rouleau  de 25M","Rouleau  de 25M","product.product_uom_categ_unit"
29,"Sac","Sac","product.product_uom_categ_unit"
30,"Sac de 25 KG","Sac de 25 KG","product.product_uom_categ_kgm"
31,"Sachet","Sachet","product.product_uom_categ_kgm"
32,"Tonne","Tonne","product.product_uom_categ_unit"
33,"Total Result","Total Result","product.product_uom_categ_unit"
34,"Unité","Unité","product.product_uom_categ_unit"
35,"un","un","product.product_uom_categ_unit"
36,"bar","bar","product.product_uom_categ_unit"
45,"Kil","Kil","product.product_uom_categ_unit"
