name,.id,prix5
BEURRE BOCAGE 200G,5636,2180
CREME FRAICHE 1 LITRE 30%,5482,5830
LE SAVOUREUX (EDAM) EN BLOC,5485,18795
LE SAVOUREUX (EDAM) 1KG,9862,18795
LE SAVOUREUX EN PORTION,5488,4597
L'EXCELLENT (CHEDDAR) EN BLOC,5489,18795
L'EXCELLENT (CHEDDAR) 1KG,9863,18795
L'EXCELLENT (CHEDDAR) EN PORTION,5492,4597
LE CREMEUX ( ST PAULIN) EN BLOC,5493,18795
LE CREMEUX (ST PAULIN) 1KG,9864,18795
LE CREMEUX EN PORTION,5496,4597
LE MOELLEUX ( CAMEMBERT) EN PORTION DE 110G,5497,2451
YAO 80ML ANANAS,5515,584
YAO 250ML ANANAS,5516,1028
YAO 1 LITRE ANANAS,5517,3783
YAO 80ML BANANE,5519,584
YAO 250ML BANANE,5520,1028
YAO 1 LITRE BANANE,5521,3783
YAO 80ML COCO,5523,584
YAO 250ML COCO,5524,1028
YAO 1 LITRE COCO,5525,3783
YAO 80ML EXOTIQUE,5527,584
YAO 250ML EXOTIQUE,5528,1028
YAO 1 LITRE EXOTIC,5529,3783
YAO 80ML FRAISE,5531,584
YAO 250ML FRAISE,5532,1028
YAO 1 LITRE FRAISE,5533,3783
YAO 80ML FRAMBOISE,5535,584
YAO 250ML FRAMBOISE,5536,1028
YAO 1 LITRE FRAMBOISE,5537,3783
YAO 80ML NATURE,5539,584
YAO 250ML NATURE,5540,1028
YAO 1 LITRE NATURE,5541,3783
YAO 80ML NATURE SUCRE,5543,584
YAO 250ML NATURE SUCRE,5544,1028
YAO 1 LITRE NATURE SUCRE,5545,3783
YAO 80ML PECHE,5547,584
YAO 250ML PECHE,5548,1028
YAO 1 LITRE PECHE,5549,3783
YAO 80ML VANILLE,5551,584
YAO 250ML VANILLE,5552,1028
YAO 1 LITRE VANILLE,5553,3783
M'LAY 100ML BANANE,10705,499
M'LAY 100ML COCO,10704,499
M'LAY 100ML FRAISE,10706,499
M'LAY 100ML NATURE,10702,483
M'LAY 100ML NATURE SUCRE,10725,499
M'LAY 100ML PECHE,10707,499
M'LAY 100ML VANILLE,10703,499
M'LAY 100ML BRASSE AUX FRUITS EXOTIQUES,10709,614
M'LAY 100ML BRASSE AUX FRAISES,10708,614
FARILAC 250G VANILLE (20 BOITES),5556,3382
FARILAC 250G BANANE FRAISE (20 BOITES),5558,3382
FARILAC 250G CHOCOLAT (20 BOITES),5560,3382
FARILAC 250G MIEL (20 BOITES),5562,3382
KAOATRY 390G (48 BOITES),5564,1724
LAIT ENTIER BRIQUE 1L,5568,2490
LCS SOCOLAIT 125ML ( 50 POUCHS),5574,814
LCS SOCOLAIT 1KG ( 24 BOITES),5576,5668
O'LAIT 250G( 40 SACHETS ),5577,4137
O'LAIT 400G ( 24 BOITES ),5578,8222
O'LAIT 500G ( 20 SACHETS),5579,7791
O'LAIT 1KG ( 10 SACHETS ),5580,15215
LAIT EN POUDRE ENTIER 26%,5582,12353
CHIPS POMME DE TERRE CHILI 20 GRS,10613,376
CHIPS POMME DE TERRE FROMAGE 20 GRS,10614,376
CHIPS POMME DE TERRE KETCHUP 20 GRS,10615,376
CHIPS POMME DE TERRE SALEES 20 GRS,10616,376
CHIPS POMME DE TERRE SALEES 75GRS,5590,753
CHIPS POMME DE TERRE VINAIGRE 20 GRS,10617,376
CHIPS TAROT 30GRS,5592,376
FRIT 20GRS,10565,376
FRITS 65GRS,5596,753
PETALE 65GRS,5597,753
PETALE CHILI 65GRS,5722,753
PETALE VINAIGRE 65GRS,5723,753
JUS D'ORANGE 250ML,10670,668
JUS D'ORANGE 1000ML,10668,1897
JUS DE POMME 250 ML,10671,668
JUS DE POMME 1000ML,10669,1897
