"name","address/type","address/street","address/city","address/country_id/id","company_id/id"
"AGRIFARM","","","","",""
"AGRIVAL","","","","",""
"AGRIVET","default","Lot 01 A Ambohibao Antehiroka","","",""
"Client Divers","Madagascar","","","base.mg","base.main_company"
"DISTRIBUTION COMMERCIALE DE L'OCEAN INDIEN","","","","",""
"EUROPAINTS","","","","",""
"Groupe SMTP","","","","",""
"INTERNATIONAL DISTRIBUTION COMPANY","","","","",""
"SOCIETE DE METALLURGIE DE L'OCEAN INDIEN","","","","",""
"SOCIETE IDF","","","","",""
"SOCIETE MALGACHE DE TRANSFORMATION DE PLASTIQUE","","","","",""
"SOCOLAIT ANSIRABE","","","","",""
"SOCOLAIT TANA","","","","",""
"STE DE PECHE DE SAINTE MARIE SPSM","default","I LOT MADAME SAINTE MARIE","SAINTE MARIE","base.mg",""
