"code",".id","id","name"
"ala",176,,"ALAROBIA"
"amb",175,,"AMBOHIBAO"
"account.invoice.in_invoice",2,"account.seq_type_in_invoice","Account Invoice In"
"account.invoice.out_invoice",1,"account.seq_type_out_invoice","Account Invoice Out"
"account.journal",6,"account.sequence_journal_type","Account Journal"
"account.invoice.in_refund",4,"account.seq_type_in_refund","Account Refund In"
"account.invoice.out_refund",3,"account.seq_type_out_refund","Account Refund Out"
"account.reconcile",7,"account.sequence_reconcile","Account reconcile sequence"
"ha1",141,,"Achat de biens locaux"
"ha2",153,,"Achat de service"
"ha3",154,,"Achat import"
"account.analytic.account",5,"account.seq_type_analytic_account","Analytic account"
"bfe",160,,"BFV usd 008  00005  02071004033  74"
"bg1",181,,"BGFI 410 001 680 11-09"
"bl2",50,,"BL2"
"bme",159,,"BMOI eur 4  00004  01521401136  32"
"bm1",156,,"BMOI tanà  00004  01521400166  32"
"bm4",157,,"BMOI tave  00010  01546300133  32"
"bf1",158,,"BVF tanà  00005  02001000131  87"
"bank_pay_voucher",13,"account_voucher.seq_type_bank_pay_voucher","Bank Payment"
"bank_rec_voucher",12,"account_voucher.seq_type_bank_rec_voucher","Bank Receipt"
"account.bank.statement",8,"account.sequence_statement_type","Bank Statement"
"ca3",146,,"Caisse Alarobia"
"ca1",161,,"Caisse Ambohibao"
"ca2",162,,"Caisse Ivandry"
"ca5",164,,"Caisse PVT Ambohibao"
"ca4",163,,"Caisse Tamatave"
"pay_voucher",11,"account_voucher.seq_type_cash_pay_voucher","Cash Payment"
"rec_voucher",10,"account_voucher.seq_type_cash_rec_voucher","Cash Receipt"
"account.cash.statement",9,"account.cash_sequence_statement_type","Cash Statement"
"chq",148,,"Chèque à encaisser"
"cont_voucher",14,"account_voucher.seq_type_contra_voucher","Contra Entry"
"dep",48,,"Depreciation"
"dep",150,,"Depreciation"
"esp",152,,"Espèces à encaisser"
"hr.expense.invoice",35,"hr_expense.seq_type_hr_expense_invoice","Expense invoice"
"fleet.order",42,"fleet_manager.seq_type_fleet_order","Fleet Order"
"fleet.fuel",38,"fleet_manager.seq_type_fleet_fuel_log","Fuel log entry number"
"iva",179,,"IVANDRY"
"in.letter",30,"letter_mgmt_v6.seq_type_letter_in","Inbound Letter"
"od",49,,"OPERTION DIVERS"
"odr",151,,"Opérations diverses"
"od1",169,,"Opérations diverses (OD1)"
"odc",170,,"Opérations diverses commerciales"
"out.letter",31,"letter_mgmt_v6.seq_type_letter_out","Outbound Letter"
"pvt",178,,"PVT AMBOHIBAO"
"stock.lot.tracking",21,"stock.sequence_type_tracking","Packs"
"pai",171,,"Paie"
"payment.advice",45,"hr_payroll.seq_type_payment_advice","Payment Advice"
"payment.line",29,"account_payment.seq_type_payment_line","Payment Line"
"payment.order",28,"account_payment.seq_type_payment_order","Payment order"
"stock.picking.in",17,"stock.seq_type_picking_in","Picking IN"
"stock.picking.internal",19,"stock.seq_type_picking_internal","Picking INT"
"stock.picking.out",18,"stock.seq_type_picking_out","Picking OUT"
"stock.lot.serial",20,"stock.sequence_type_serial","Production Lots"
"mrp.production",25,"mrp.sequence_mrp_prod_type","Production order"
"journal_pur_vou",16,"account_voucher.seq_type_jou_pur_voucher","Purchase Entry"
"purchase.order",23,"purchase.seq_type_purchase_order","Purchase Order"
"ecnj",143,,"Purchase Refund Journal"
"ecnj",34,,"Purchase Refund Journal"
"purchase.order.requisition",26,"purchase_requisition.seq_type_purchase_requisition","Purchase Requisition Order"
"rec.payment.order",32,"account_payment_extension.seq_type_rec_payment_order","Receivable payment order"
"mrp.repair",27,"mrp_repair.seq_type_mrp_repair","Repair Order"
"ran",173,,"Report à nouveau"
"reg",172,,"Régularisations"
"salary.register",44,"hr_payroll.seq_type_salary_register","Salary Register"
"salary.slip",43,"hr_payroll.seq_type_salary_slip","Salary Slip"
"Tana",52,"Tane","Sale Order Tana"
"Tamatave",51,"Tamatave","Sale Order Tave"
"journal_sale_vou",15,"account_voucher.seq_type_jou_sale_voucher","Sales Entry"
"sale.order",24,"sale.seq_type_sale_order","Sales Order"
"scnj",33,,"Sales Refund Journal"
"scnj",142,,"Sales Refund Journal"
"stock.orderpoint",22,"procurement.sequence_mrp_op_type","Stock orderpoint"
"tam",177,,"TAMATAVE"
"tte",147,,"Traite à encaisser"
"tem",149,,"Traites émises"
"vt2",140,,"Ventes Alarobia"
"vt3",168,,"Ventes Ivandry"
"vt4",174,,"Ventes Tamatave"
"Antsirabe",,"Antsirabe","Antsirabe"
"Alarobia",,"Alarobia","Alarobia"
